;Kundennummer;Kundenname;Stadt;Kundengruppe;Kündigung;Anzahl_Mieteinheiten;Kundentyp;Konkurrenz
0;21197;Hans-Detlef Riehl;Halberstadt;Kleinkunde;0;18;Bestandskunden;mittlerer Konkurrenz
1;68717;Timm Schäfer-Grein Groth;Ansbach;Kleinkunde;0;16;Bestandskunden;Keine Konkurrenz
2;20557;Erwin Hornig;Malchin;Kleinkunde;1;36;Neukunde;Hohe Konkurrenz
3;77488;Ing. Wolfgang Mühle;Illertissen;Kleinkunde;0;41;Neukunde;Keine Konkurrenz
4;70151;Dipl.-Ing. Therese Schleich B.A.;Hannover;Großkunde;0;215;Bestandskunden;Keine Konkurrenz
5;11602;Grete Berger;Neunburg vorm Wald;mittlerer Kunde;0;175;Neukunde;Keine Konkurrenz
6;49668;Fabian Kensy-Bien;Jüterbog;mittlerer Kunde;0;79;Bestandskunden;Keine Konkurrenz
7;20548;Carl Weiß-Lachmann;Uffenheim;Kleinkunde;1;49;Neukunde;Hohe Konkurrenz
8;69603;Horst Stiebitz-Krebs;Chemnitz;Großkunde;0;752;Bestandskunden;mittlerer Konkurrenz
9;44533;Bartholomäus Trupp;Gräfenhainichen;Großkunde;0;852;Neukunde;Keine Konkurrenz
10;45423;Kilian Hecker;Waldmünchen;Kleinkunde;0;41;Neukunde;mittlerer Konkurrenz
11;53462;Johannes Holzapfel B.Eng.;Ingolstadt;mittlerer Kunde;0;160;Bestandskunden;Keine Konkurrenz
12;35212;Kristian Bärer;Döbeln;mittlerer Kunde;0;62;Bestandskunden;Hohe Konkurrenz
13;54646;Ingolf Dowerg;Sternberg;Großkunde;0;870;Altkunden;Keine Konkurrenz
14;20192;Meta Bien-Pergande;Freital;Kleinkunde;1;26;Altkunden;Hohe Konkurrenz
15;85895;Josefine Fliegner-Weihmann;Bad Kissingen;Kleinkunde;1;35;Bestandskunden;Hohe Konkurrenz
16;50251;Erol Hesse B.A.;Ludwigsburg;Großkunde;1;894;Neukunde;mittlerer Konkurrenz
17;95544;Prof. Ludger Zahn;Sonneberg;mittlerer Kunde;0;94;Altkunden;Hohe Konkurrenz
18;81747;Veronica Beckmann;Jessen;Kleinkunde;1;17;Neukunde;Keine Konkurrenz
19;90878;Univ.Prof. Gino Klemt MBA.;Ravensburg;Kleinkunde;0;14;Bestandskunden;Keine Konkurrenz
20;66223;Gerlind Zänker;Germersheim;Kleinkunde;1;15;Bestandskunden;Hohe Konkurrenz
21;90308;Pascale Renner;Pasewalk;Großkunde;0;849;Bestandskunden;mittlerer Konkurrenz
22;10634;Herr Justus Bärer;Hammelburg;Großkunde;0;591;Altkunden;Hohe Konkurrenz
23;75463;Hans-Heinrich Hörle;Oranienburg;Kleinkunde;1;12;Bestandskunden;Hohe Konkurrenz
24;37171;Jerzy Döhn B.A.;Bad Kreuznach;mittlerer Kunde;0;171;Bestandskunden;Hohe Konkurrenz
25;29503;Univ.Prof. Heiner Schaaf MBA.;Neubrandenburg;Kleinkunde;0;11;Bestandskunden;Hohe Konkurrenz
26;90528;Rene Ritter MBA.;Göppingen;Großkunde;1;336;Bestandskunden;Hohe Konkurrenz
27;87401;Amelie Gierschner B.Eng.;Stuttgart;Großkunde;0;800;Altkunden;Keine Konkurrenz
28;31461;Veli Weller;Ilmenau;mittlerer Kunde;0;133;Altkunden;mittlerer Konkurrenz
29;20841;Korinna Mülichen;Meppen;Kleinkunde;0;15;Bestandskunden;Keine Konkurrenz
30;28324;Frithjof Stumpf;Ansbach;Kleinkunde;1;12;Bestandskunden;Keine Konkurrenz
31;29964;Raisa Ullrich;Koblenz;Großkunde;0;296;Altkunden;Keine Konkurrenz
32;18776;Antje Bauer-Gute;Vohenstrauß;mittlerer Kunde;0;158;Bestandskunden;Keine Konkurrenz
33;71875;Cord Döring;Pasewalk;mittlerer Kunde;0;77;Bestandskunden;mittlerer Konkurrenz
34;82127;Prof. Ian Klemm;Deggendorf;Kleinkunde;0;13;Bestandskunden;Hohe Konkurrenz
35;81041;Dipl.-Ing. Antje Fechner B.Eng.;Emmendingen;Kleinkunde;0;48;Bestandskunden;mittlerer Konkurrenz
36;87744;Rosalinde Beier;Monschau;Großkunde;0;261;Bestandskunden;Hohe Konkurrenz
37;89520;Dr. Niklas Keudel;Hammelburg;Großkunde;0;832;Bestandskunden;Hohe Konkurrenz
38;25759;Herr Stephan Haering MBA.;Freising;Großkunde;0;811;Altkunden;Hohe Konkurrenz
39;49367;Dr. Franjo Siering;Burg;Großkunde;1;525;Neukunde;Hohe Konkurrenz
40;38765;Bayram Schmidtke;Eggenfelden;Großkunde;0;388;Bestandskunden;Keine Konkurrenz
41;54615;Friedlinde Schmiedt;Strausberg;Kleinkunde;0;8;Neukunde;mittlerer Konkurrenz
42;60934;Bekir Gorlitz-Dussen van;Ansbach;Kleinkunde;0;29;Altkunden;Keine Konkurrenz
43;9585;Tomas Schuchhardt;Bützow;Großkunde;0;961;Altkunden;mittlerer Konkurrenz
44;16359;Lotte Löffler;Flöha;Großkunde;0;968;Bestandskunden;Keine Konkurrenz
45;93665;Prof. Karen Roskoth B.A.;Meißen;Kleinkunde;0;15;Bestandskunden;Keine Konkurrenz
46;47442;Gerard Linke;Gransee;Großkunde;0;702;Bestandskunden;mittlerer Konkurrenz
47;35300;Frau Mercedes Schenk;Gotha;Großkunde;0;624;Neukunde;mittlerer Konkurrenz
48;81332;Nada Pruschke;Demmin;Großkunde;0;585;Bestandskunden;mittlerer Konkurrenz
49;24100;Elif Rogner;Regensburg;Großkunde;0;794;Altkunden;Keine Konkurrenz
